iter	Passed	Remaining
0	1	99
1	1	91
2	2	87
3	3	84
4	4	83
5	5	82
6	6	82
7	8	92
8	9	98
9	11	100
10	12	97
11	13	95
12	13	92
13	14	90
14	15	87
15	16	86
16	17	84
17	18	82
18	19	81
19	20	80
20	21	79
21	23	81
22	24	81
23	25	82
24	26	80
25	27	78
26	28	77
27	29	75
28	30	74
29	31	73
30	32	71
31	33	70
32	34	69
33	34	67
34	36	68
35	38	69
36	40	68
37	41	68
38	42	66
39	43	65
40	44	63
41	45	62
42	46	61
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	52	54
49	53	53
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	66	40
62	68	40
63	70	39
64	71	38
65	72	37
66	73	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	96	11
89	97	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	104	3
97	105	2
98	106	1
99	107	0
